province,address,price,Construction Type,New Construction,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Furniture,Renovation
Kentron,"Kristapor street 20, Yerevan","$158,000",Stone,No,Not available,5,50,3,1,from 3 m,4,Closed balcony,Available,Designer Renovation
Kentron,"Աբովյան փողոց, Երևան","$260,000",Stone,No,Not available,5,103,3,1,from 2.75 m,2,Closed balcony,Available,Cosmetic Renovation
Kentron,"Улица Сарьяна 38, Yerevan","$205,000",Monolith,No,Available,16,100,3,1,from 2.7 m,13,Multiple balconies,Partial Furniture,Partial Renovation
Kanaker-Zeytun,"Dro street, Yerevan","$119,000",Panels,No,Available,13,75,4,1,from 2.7 m,9,Not available,Available,Major Renovation
Erebuni,"Rostovyan street, Yerevan","$45,000",Stone,No,Not available,5,29,1,1,from 2.7 m,1,Not available,Not available,Old Renovation
Malatia-Sebastia,"Ohanov street 8, Yerevan","$105,000",Monolith,No,Available,14,83,3,2,from 2.6 m,12,Closed balcony,Available,Euro Renovation
Arabkir,"Komitas avenu, Երևան","$157,000",Stone,No,Not available,5,79,3,1,from 3.5 m,2,Closed balcony,Available,Major Renovation
Kentron,"Hanrapetutyun street 78, Yerevan","$410,000",Stone,No,Not available,3,110,3,1,from 3.2 m,2,Multiple balconies,Available,Major Renovation
Kanaker-Zeytun,"Azatutyan Avenue lane 5, Yerevan","$88,000",Panels,No,Available,9,46,2,1,from 2.7 m,6,Open balcony,Not available,Designer Renovation
Nor Nork,"Վիլնյուսի փողոց, Երևան","$105,000",Panels,No,Available,9,98,3,1,from 2.8 m,2,Closed balcony,By agreement,Major Renovation
Arabkir,"Hrachya Kochar Street, Yerevan","$140,000",Stone,No,Not available,5,70,3,1,from 3 m,5,Open balcony,Available,Euro Renovation
Arabkir,"Aram Khachatryan street, Երևան","$139,000",Panels,No,Available,9,71,2,1,from 2.75 m,6,Open balcony,Available,Euro Renovation
Arabkir,"Komitas avenu, Երևան","$229,000",Monolith,Yes,Available,14,87,3,2,from 3 m,14,Open balcony,Available,Designer Renovation
Malatia-Sebastia,"Զորավար Անդրանիկի փողոց 10/3, Yerevan","$80,000",Panels,No,Available,14,54,2,1,from 3 m,13,Closed balcony,Partial Furniture,Major Renovation
Nor Nork,"Ashot Hovhannisyan Street, Yerevan","$106,500",Panels,No,Available,9,78,3,1,from 2.7 m,3,Closed balcony,Available,Major Renovation
Nor Nork,"Moldovakan street, Yerevan","$97,000",Monolith,Yes,Not available,6,60,2,1,from 2.8 m,1,Open balcony,Available,Major Renovation
Kanaker-Zeytun,"Dro street 15, Yerevan","$75,000",Stone,No,Not available,5,35,1,1,from 2.8 m,4,Open balcony,Available,Cosmetic Renovation
Kentron,"Rostom street, Yerevan","$395,000",Monolith,Yes,Available,16,162,4,2,from 3 m,6,Multiple balconies,By agreement,Major Renovation
Arabkir,"Գյուլբենկյան փողոց, Երևան","$95,000",Stone,No,Not available,5,29,1,1,from 2.6 m,4,Open balcony,Available,Major Renovation
Arabkir,"Վահրամ Փափազյան փողոց, Երևան","$140,000",Monolith,Yes,Available,9,44,2,1,from 3 m,8,Open balcony,Not available,Major Renovation
Arabkir,"Avet Avetisyan Street, Yerevan","$250,000",Monolith,Yes,Available,10,132,4,2,from 3 m,9,Open balcony,Available,Euro Renovation
Kentron,"Marshal Baghramyan avenue, Yerevan","$238,000",Stone,No,Not available,5,73,3,1,from 3 m,2,Closed balcony,Available,Major Renovation
Davitashen,"Անաստաս Միկոյանի փողոց, Երևան","$285,000",Monolith,Yes,Available,12,155,4,2,from 3 m,11,Multiple balconies,Available,Major Renovation
Davitashen,"Tigran Petrosyan street, Yerevan","$132,000",Monolith,Yes,Available,11,64,3,1,from 3 m,7,Not available,Available,Major Renovation
Kanaker-Zeytun,"Կարապետ Ուլնեցու փողոց, Երևան","$265,000",Monolith,Yes,Available,16,82,3,1,from 3 m,6,Multiple balconies,Available,Major Renovation
Nor Nork,"Artem Mikoyan street, Yerevan","$105,000",Stone,No,Not available,5,78,3,1,from 2.7 m,5,Open balcony,Available,Major Renovation
Arabkir,"Monte Melkonyan Avenue, Yerevan","$179,900",Monolith,Yes,Available,17,100,3,2,from 3 m,14,Open balcony,Not available,No Renovation
Kentron,"Արգիշտի փողոց, Երևան","$265,000",Monolith,Yes,Available,14,94,3,2,from 3 m,7,Open balcony,Not available,No Renovation
Nor Nork,"Totovents street 8/2, Yerevan","$88,000",Cassette,No,Not available,5,55,2,1,from 2.75 m,3,Closed balcony,Available,Major Renovation
Nor Nork,"Moldovakan street, Երևան","$50,000",Panels,No,Available,18,40,2,1,from 2.75 m,6,Not available,Partial Furniture,Cosmetic Renovation
Nor Nork,"Totovents street, Yerevan","$88,000",Panels,No,Available,9,51,2,1,from 2.8 m,3,Not available,Available,Euro Renovation
Arabkir,"Նաիրի Զարյան փողոց, Երևան","$360,000",Monolith,Yes,Available,17,205,4,2,from 3 m,10,Open balcony,Not available,No Renovation
Arabkir,"Գյուլբենկյան փողոց, Երևան","$125,000",Stone,No,Not available,5,56,2,1,from 2.7 m,5,Multiple balconies,By agreement,Partial Renovation
Shengavit,"Arshakuniats Avenue 1st Lane 5, Yerevan","$70,000",Panels,No,Not available,5,55,3,1,from 2.8 m,1,Not available,Not available,Euro Renovation
Arabkir,"Նիկողայոս Ադոնց փողոց, Երևան","$125,000",Panels,No,Available,9,82,3,1,from 2.7 m,3,Closed balcony,By agreement,Partial Renovation
Arabkir,"Արմեն Տիգրանյանի փողոց, Երևան","$190,000",Monolith,Yes,Available,13,60,2,1,from 3 m,8,Open balcony,Available,Designer Renovation
Kentron,"Amiryan Street, Yerevan","$170,000",Stone,No,Not available,5,63,3,1,from 2.8 m,2,Not available,Available,Major Renovation
Arabkir,"Orbeli Brothers street, Yerevan","$228,000",Monolith,No,Available,9,99,2,1,from 2.8 m,8,Open balcony,Available,Designer Renovation
Kentron,"Սերո Խանզադյանի փողոց 1-ին նրբանցք, Երևան","$292,000",Monolith,Yes,Available,17,94,3,2,from 3 m,7,Open balcony,Available,Designer Renovation
Kentron,"Verin Antarayin Street, Yerevan","$168,000",Monolith,Yes,Available,5,42,2,1,from 3 m,2,Not available,Available,Designer Renovation
Erebuni,"Արցախի պողոտա, Երևան","$95,000",Stone,No,Available,14,72,4,2,from 2.7 m,7,Closed balcony,By agreement,Partial Renovation
Arabkir,"Malkhasyants street, Yerevan","$245,000",Monolith,Yes,Available,14,74,3,1,from 3 m,4,Open balcony,Available,Major Renovation
Ajapnyak,"Նորաշեն թաղամաս, Երևան","$130,000",Monolith,Yes,Available,13,63,3,1,from 2.8 m,2,Not available,Available,Major Renovation
Malatia-Sebastia,"Կուրղինյան փողոց, Երևան","$164,000",Stone,No,Not available,5,87,4,1,from 2.8 m,2,Multiple balconies,Available,Designer Renovation
Nor Nork,"Nansen street, Yerevan","$60,000",Panels,No,Not available,5,37,1,1,from 2.7 m,5,Closed balcony,By agreement,Cosmetic Renovation
Nor Nork,"Հայկ Գյուլիքևխյանի փողոց, Երևան","$97,000",Stone,No,Not available,5,74,3,2,from 2.8 m,4,Multiple balconies,By agreement,Cosmetic Renovation
Arabkir,"Orbeli Brothers street, Yerevan","$185,000",Panels,No,Not available,10,79,3,1,from 2.7 m,9,Closed balcony,Available,Euro Renovation
Arabkir,"Kievyan street, Yerevan","$185,000",Stone,No,Not available,4,88,3,1,from 3 m,3,Closed balcony,Partial Furniture,Old Renovation
Nor Nork,"Vilnius St, Yerevan","$88,000",Panels,No,Available,9,80,3,2,from 2.75 m,3,Multiple balconies,Not available,Euro Renovation
Arabkir,"Arabkir 25-th Street, Yerevan","$135,000",Monolith,No,Available,9,76,4,1,from 2.8 m,9,Not available,Available,Major Renovation
Arabkir,"Aghbyur Serob street, Yerevan","$150,000",Stone,No,Not available,5,84,3,1,from 2.8 m,5,Open balcony,Available,Designer Renovation
Davitashen,"Տիգրան Պետրոսյանի փողոց, Երևան","$135,000",Panels,No,Available,14,68,3,1,from 2.8 m,14,Not available,Partial Furniture,Designer Renovation
Kanaker-Zeytun,"Ավետիս Ահարոնյանի փողոց, Երևան","$158,000",Monolith,Yes,Available,14,96,3,2,from 3 m,9,Open balcony,Not available,No Renovation
Nor Nork,"Mar Street, Yerevan","$95,000",Stone,No,Not available,5,77,3,1,from 2.75 m,1,Multiple balconies,Not available,Partial Renovation
Kentron,"Ler Kamsari Street, Yerevan","$260,000",Monolith,Yes,Available,9,107,4,1,from 3 m,2,Not available,Available,Major Renovation
Arabkir,"Արաբկիրի 19-րդ փողոց, Երևան","$140,000",Panels,No,Available,9,73,3,1,from 2.75 m,6,Multiple balconies,Available,Major Renovation
Kentron,"Verin Antarayin street, Yerevan","$270,000",Monolith,Yes,Available,7,92,3,2,from 3 m,3,Open balcony,Available,Designer Renovation
Kanaker-Zeytun,"Ավետիս Ահարոնյանի փողոց, Երևան","$169,000",Monolith,Yes,Available,14,96,3,2,from 3 m,9,Open balcony,Not available,No Renovation
Kentron,"Forest Street, Yerevan","$450,000",Monolith,Yes,Available,6,105,3,2,from 3 m,2,Open balcony,Not available,Major Renovation
Ajapnyak,"Leninakan street, Yerevan","$85,000",Stone,No,Not available,5,72,3,1,from 2.75 m,1,Closed balcony,Not available,Partial Renovation
Kentron,"Marshal Baghramyan avenue, Yerevan","$385,000",Monolith,Yes,Available,14,121,3,2,from 3 m,5,Multiple balconies,Available,Major Renovation
Kentron,"Charents street, Yerevan","$155,000",Stone,No,Not available,5,72,2,1,from 3 m,1,Closed balcony,By agreement,Major Renovation
Arabkir,"Արամ Խաչատրյանի փողոց, Երևան","$265,000",Monolith,No,Available,13,76,3,1,from 3 m,6,Open balcony,Available,Designer Renovation
Shengavit,"Մանթաշյան փողոց 4/5, Երևան","$110,000",Panels,No,Available,9,78,3,1,from 2.75 m,1,Not available,By agreement,Old Renovation
Kentron,"Tigran Mets Avenue, Yerevan","$130,000",Panels,No,Available,14,80,3,1,from 2.75 m,9,Closed balcony,Not available,Partial Renovation
Arabkir,"Barbyus Street, Yerevan","$150,000",Stone,No,Not available,5,96,3,1,from 2.8 m,5,Closed balcony,Available,Old Renovation
Kentron,"Glinka Street, Yerevan","$154,000",Panels,No,Available,9,90,3,1,from 2.75 m,3,Multiple balconies,Not available,Major Renovation
Kentron,"Teryan street, Yerevan","$360,000",Stone,No,Not available,4,86,3,1,from 3 m,4,Multiple balconies,Not available,Cosmetic Renovation
Kentron,"Մաշտոցի պողոտա, Երևան","$220,000",Stone,No,Not available,4,91,3,1,from 3 m,4,Multiple balconies,Not available,No Renovation
Kentron,"Yeznik Koghbatsi street, Yerevan","$225,000",Panels,No,Available,10,95,3,1,from 2.8 m,5,Multiple balconies,Available,Euro Renovation
Arabkir,Yerevan › Arabkir,"$185,000",Stone,No,Not available,4,108,3,1,from 2.75 m,3,Closed balcony,By agreement,Major Renovation
Kentron,"Խորենացու փողոց, Երևան","$145,000",Panels,No,Available,16,82,3,1,from 2.75 m,14,Closed balcony,Available,Major Renovation
Kentron,"Abovyan street, Երևան","$345,000",Stone,No,Not available,5,188,5,3+,from 3 m,4,Multiple balconies,By agreement,Major Renovation
Kentron,"Charents street, Yerevan","$55,000",Panels,No,Available,14,34,1,1,from 2.75 m,1,Closed balcony,Not available,Old Renovation
Kentron,"Aram Street, Yerevan","$285,000",Monolith,Yes,Available,8,68,3,2,from 3 m,2,Not available,Available,Major Renovation
Kentron,"Saryan street, Երևան","$240,000",Panels,No,Available,11,66,2,1,from 2.8 m,5,Open balcony,By agreement,Designer Renovation
Kentron,"Sayat Nova avenue, Yerevan","$185,000",Stone,No,Not available,4,55,1,1,from 3 m,4,Multiple balconies,Available,Designer Renovation
Davitashen,"Անաստաս Միկոյանի փողոց, Երևան","$205,000",Monolith,Yes,Available,12,155,3,1,from 3 m,10,Multiple balconies,Not available,No Renovation
Nor Nork,"Գայի պողոտա, Երևան","$147,000",Monolith,Yes,Available,15,63,2,1,from 3 m,10,Open balcony,By agreement,Designer Renovation
Kentron,"Marshal Baghramyan avenue, Yerevan","$220,000",Stone,No,Not available,5,67,3,1,from 3 m,2,Closed balcony,Partial Furniture,Major Renovation
Arabkir,"Վաղարշ Վաղարշյան փողոց, Երևան","$96,000",Monolith,Yes,Available,7,35,1,1,from 3 m,2,Not available,Available,Major Renovation
Arabkir,"Nikoghayos Adonts Street 4, Yerevan","$335,000",Stone,Yes,Available,8,123,4,2,from 3 m,6,Multiple balconies,Available,Designer Renovation
Nor Nork,"Թևոսյան փողոց, Երևան","$55,000",Panels,Yes,Available,9,36,2,1,from 3 m,3,Not available,Not available,Euro Renovation
Kanaker-Zeytun,"Azatutyan Avenue, Yerevan","$200,000",Monolith,Yes,Available,17,65,2,1,from 3 m,15,Open balcony,Available,Designer Renovation
Arabkir,"Արամ Խաչատրյանի փողոց, Երևան","$235,000",Monolith,Yes,Available,16,65,2,1,from 3 m,15,Open balcony,Not available,Major Renovation
Shengavit,"Garegin Nzhdeh Street, Yerevan","$85,000",Stone,No,Not available,4,65,1,1,from 2.8 m,4,Not available,Available,Euro Renovation
Kanaker-Zeytun,"David Anhaght street, Երևան","$164,000",Stone,No,Available,6,106,4,1,from 2.75 m,6,Not available,By agreement,Major Renovation
Kentron,"Amiryan Street, Yerevan","$235,000",Stone,No,Not available,5,57,2,1,from 2.8 m,3,Closed balcony,Not available,Designer Renovation
Avan,"Avan-Arinj 2nd micro, Yerevan","$130,000",Panels,No,Not available,5,100,3,1,from 2.75 m,3,Multiple balconies,Available,Major Renovation
Avan,"Charents block, Yerevan","$105,000",Panels,No,Available,14,82,3,1,from 2.75 m,8,Multiple balconies,Available,Partial Renovation
Avan,"Quchak block, Yerevan","$93,000",Panels,No,Available,9,53,2,1,from 2.75 m,8,Closed balcony,Available,Major Renovation
Avan,"Sayat-Nova block, Yerevan","$105,000",Panels,No,Available,9,84,4,1,from 2.75 m,5,Multiple balconies,Available,No Renovation
Avan,"Toumanyan block, Yerevan","$107,000",Panels,No,Available,9,88,4,1,from 2.75 m,8,Multiple balconies,Available,Partial Renovation
Avan,"Toumanyan block, Yerevan","$100,000",Panels,No,Available,9,64,2,1,from 2.75 m,4,Multiple balconies,Available,Major Renovation
Davitashen,"Սամվել Գևորգյան փողոց 4, Երևան","$155,000",Monolith,Yes,Available,16,94,4,2,from 3 m,7,Multiple balconies,Not available,No Renovation
Arabkir,"Komitas avenu, Երևան","$125,000",Stone,No,Not available,5,56,2,1,from 2.75 m,5,Multiple balconies,By agreement,Major Renovation
Malatia-Sebastia,"Zoravar Andranik street, Yerevan","$138,000",Panels,No,Available,9,98,4,1,from 2.8 m,3,Not available,Not available,Major Renovation
Malatia-Sebastia,"Zoravar Andranik street, Yerevan","$120,000",Panels,No,Available,14,88,3,1,from 2.8 m,13,Not available,Available,Euro Renovation
Erebuni,"Արցախի պողոտա, Երևան","$99,800",Stone,No,Not available,3,82,3,1,from 2.8 m,3,Not available,Not available,Euro Renovation
Arabkir,"Վիկտոր Համբարձումյան փողոց, Երևան","$142,000",Stone,No,Available,9,62,2,1,from 2.75 m,3,Open balcony,Not available,Major Renovation
Nor Nork,"Մոլդովական փողոց, Երևան","$69,000",Stone,No,Not available,5,55,3,1,from 2.75 m,2,Multiple balconies,Not available,Old Renovation
Nor Nork,"Թոթովենցի փողոց, Երևան","$61,500",Panels,No,Available,9,43,2,1,from 2.8 m,9,Closed balcony,Not available,Major Renovation
Nor Nork,"Gai avenue, Yerevan","$67,000",Panels,No,Not available,5,56,2,1,from 2.7 m,1,Closed balcony,Not available,Old Renovation
Nor Nork,"Գայի պողոտա, Երևան","$93,000",Panels,No,Available,9,83,4,1,from 2.8 m,1,Closed balcony,Partial Furniture,Cosmetic Renovation
Nor Nork,"Nansen street, Yerevan","$75,000",Panels,No,Not available,5,64,3,1,from 2.6 m,5,Closed balcony,Not available,Old Renovation
Kentron,"Արգիշտի փողոց 11/11, Երևան","$150,000",Monolith,Yes,Available,14,36,2,1,from 3 m,2,Not available,Available,Designer Renovation
Kentron,"Koryun street, Yerevan","$250,000",Monolith,Yes,Available,9,92,3,2,from 2.8 m,7,Closed balcony,Available,Major Renovation
Kentron,"Amiryan Street, Yerevan","$120,000",Panels,No,Available,9,40,2,1,from 2.75 m,3,Open balcony,Available,Old Renovation
Kanaker-Zeytun,"Dro street 7, Yerevan","$99,000",Stone,No,Not available,5,60,2,1,from 2.75 m,4,Not available,Available,Designer Renovation
Kentron,"Դերենիկ Դեմիրճյանի փողոց, Երևան","$175,000",Panels,No,Available,15,96,3,1,from 2.75 m,1,Open balcony,Not available,No Renovation
Kentron,"Մարշալ Բաղրամյան պողոտայի 3-րդ նրբանցք 7, Երևան","$500,000",Monolith,Yes,Available,6,185,4,3+,from 3.2 m,2,Multiple balconies,Not available,No Renovation
Davitashen,"Davtashen 3rd Block 30, Yerevan","$110,000",Panels,No,Available,16,70,3,1,from 2.8 m,13,Not available,Available,Major Renovation
Kentron,"Ռոստոմի փողոց 26, Երևան","$177,000",Monolith,Yes,Available,16,62,2,1,from 3 m,7,Open balcony,Not available,No Renovation
Kentron,"Yervand Kochar street, Yerevan","$150,000",Panels,No,Available,9,80,3,1,from 2.8 m,8,Closed balcony,Not available,Old Renovation
Shengavit,"Մանթաշյան փողոց 4/5, Երևան","$110,000",Panels,No,Available,9,78,3,1,from 2.75 m,1,Not available,By agreement,Old Renovation
Kentron,"Tigran Mets Avenue, Yerevan","$130,000",Panels,No,Available,14,80,3,1,from 2.75 m,9,Closed balcony,Not available,Partial Renovation
Arabkir,"Barbyus Street, Yerevan","$150,000",Stone,No,Not available,5,96,3,1,from 2.8 m,5,Closed balcony,Available,Old Renovation
Kentron,"Glinka Street, Yerevan","$154,000",Panels,No,Available,9,90,3,1,from 2.75 m,3,Multiple balconies,Not available,Major Renovation
Kentron,"Teryan street, Yerevan","$360,000",Stone,No,Not available,4,86,3,1,from 3 m,4,Multiple balconies,Not available,Cosmetic Renovation
Kentron,"Մաշտոցի պողոտա, Երևան","$220,000",Stone,No,Not available,4,91,3,1,from 3 m,4,Multiple balconies,Not available,No Renovation
Kentron,"Yeznik Koghbatsi street, Yerevan","$225,000",Panels,No,Available,10,95,3,1,from 2.8 m,5,Multiple balconies,Available,Euro Renovation
Arabkir,Yerevan › Arabkir,"$185,000",Stone,No,Not available,4,108,3,1,from 2.75 m,3,Closed balcony,By agreement,Major Renovation
Kentron,"Խորենացու փողոց, Երևան","$145,000",Panels,No,Available,16,82,3,1,from 2.75 m,14,Closed balcony,Available,Major Renovation
Kentron,"Abovyan street, Երևան","$345,000",Stone,No,Not available,5,188,5,3+,from 3 m,4,Multiple balconies,By agreement,Major Renovation
Kentron,"Charents street, Yerevan","$55,000",Panels,No,Available,14,34,1,1,from 2.75 m,1,Closed balcony,Not available,Old Renovation
Kentron,"Aram Street, Yerevan","$285,000",Monolith,Yes,Available,8,68,3,2,from 3 m,2,Not available,Available,Major Renovation
Kentron,"Saryan street, Երևան","$240,000",Panels,No,Available,11,66,2,1,from 2.8 m,5,Open balcony,By agreement,Designer Renovation
Kentron,"Sayat Nova avenue, Yerevan","$185,000",Stone,No,Not available,4,55,1,1,from 3 m,4,Multiple balconies,Available,Designer Renovation
Davitashen,"Անաստաս Միկոյանի փողոց, Երևան","$205,000",Monolith,Yes,Available,12,155,3,1,from 3 m,10,Multiple balconies,Not available,No Renovation
Nor Nork,"Գայի պողոտա, Երևան","$147,000",Monolith,Yes,Available,15,63,2,1,from 3 m,10,Open balcony,By agreement,Designer Renovation
Kentron,"Marshal Baghramyan avenue, Yerevan","$220,000",Stone,No,Not available,5,67,3,1,from 3 m,2,Closed balcony,Partial Furniture,Major Renovation
Arabkir,"Վաղարշ Վաղարշյան փողոց, Երևան","$96,000",Monolith,Yes,Available,7,35,1,1,from 3 m,2,Not available,Available,Major Renovation
Arabkir,"Nikoghayos Adonts Street 4, Yerevan","$335,000",Stone,Yes,Available,8,123,4,2,from 3 m,6,Multiple balconies,Available,Designer Renovation
Nor Nork,"Թևոսյան փողոց, Երևան","$55,000",Panels,Yes,Available,9,36,2,1,from 3 m,3,Not available,Not available,Euro Renovation
Kanaker-Zeytun,"Azatutyan Avenue, Yerevan","$200,000",Monolith,Yes,Available,17,65,2,1,from 3 m,15,Open balcony,Available,Designer Renovation
Arabkir,"Արամ Խաչատրյանի փողոց, Երևան","$235,000",Monolith,Yes,Available,16,65,2,1,from 3 m,15,Open balcony,Not available,Major Renovation
Shengavit,"Garegin Nzhdeh Street, Yerevan","$85,000",Stone,No,Not available,4,65,1,1,from 2.8 m,4,Not available,Available,Euro Renovation
Kanaker-Zeytun,"David Anhaght street, Երևան","$164,000",Stone,No,Available,6,106,4,1,from 2.75 m,6,Not available,By agreement,Major Renovation
Kentron,"Amiryan Street, Yerevan","$235,000",Stone,No,Not available,5,57,2,1,from 2.8 m,3,Closed balcony,Not available,Designer Renovation
Avan,"Avan-Arinj 2nd micro, Yerevan","$130,000",Panels,No,Not available,5,100,3,1,from 2.75 m,3,Multiple balconies,Available,Major Renovation
Avan,"Charents block, Yerevan","$105,000",Panels,No,Available,14,82,3,1,from 2.75 m,8,Multiple balconies,Available,Partial Renovation
Avan,"Quchak block, Yerevan","$93,000",Panels,No,Available,9,53,2,1,from 2.75 m,8,Closed balcony,Available,Major Renovation
Avan,"Sayat-Nova block, Yerevan","$105,000",Panels,No,Available,9,84,4,1,from 2.75 m,5,Multiple balconies,Available,No Renovation
Avan,"Toumanyan block, Yerevan","$107,000",Panels,No,Available,9,88,4,1,from 2.75 m,8,Multiple balconies,Available,Partial Renovation
Avan,"Toumanyan block, Yerevan","$100,000",Panels,No,Available,9,64,2,1,from 2.75 m,4,Multiple balconies,Available,Major Renovation
Davitashen,"Սամվել Գևորգյան փողոց 4, Երևան","$155,000",Monolith,Yes,Available,16,94,4,2,from 3 m,7,Multiple balconies,Not available,No Renovation
Arabkir,"Komitas avenu, Երևան","$125,000",Stone,No,Not available,5,56,2,1,from 2.75 m,5,Multiple balconies,By agreement,Major Renovation
Malatia-Sebastia,"Zoravar Andranik street, Yerevan","$138,000",Panels,No,Available,9,98,4,1,from 2.8 m,3,Not available,Not available,Major Renovation
Malatia-Sebastia,"Zoravar Andranik street, Yerevan","$120,000",Panels,No,Available,14,88,3,1,from 2.8 m,13,Not available,Available,Euro Renovation
Erebuni,"Արցախի պողոտա, Երևան","$99,800",Stone,No,Not available,3,82,3,1,from 2.8 m,3,Not available,Not available,Euro Renovation
Arabkir,"Վիկտոր Համբարձումյան փողոց, Երևան","$142,000",Stone,No,Available,9,62,2,1,from 2.75 m,3,Open balcony,Not available,Major Renovation
Nor Nork,"Մոլդովական փողոց, Երևան","$69,000",Stone,No,Not available,5,55,3,1,from 2.75 m,2,Multiple balconies,Not available,Old Renovation
Nor Nork,"Թոթովենցի փողոց, Երևան","$61,500",Panels,No,Available,9,43,2,1,from 2.8 m,9,Closed balcony,Not available,Major Renovation
Nor Nork,"Gai avenue, Yerevan","$67,000",Panels,No,Not available,5,56,2,1,from 2.7 m,1,Closed balcony,Not available,Old Renovation
Nor Nork,"Գայի պողոտա, Երևան","$93,000",Panels,No,Available,9,83,4,1,from 2.8 m,1,Closed balcony,Partial Furniture,Cosmetic Renovation
Nor Nork,"Nansen street, Yerevan","$75,000",Panels,No,Not available,5,64,3,1,from 2.6 m,5,Closed balcony,Not available,Old Renovation
Nor Nork,"Nansen street, Yerevan","$160,000",Monolith,Yes,Available,16,64,3,1,from 2.8 m,8,Open balcony,Available,Designer Renovation
Nor Nork,"Nelson Stepanyan street, Yerevan","$75,000",Panels,No,Available,9,60,2,1,from 2.8 m,8,Closed balcony,Not available,Old Renovation
Nor Nork,"Gyulikekhvyan street, Yerevan","$80,000",Panels,No,Not available,5,65,3,1,from 2.7 m,3,Closed balcony,By agreement,Major Renovation
Nor Nork,"Kocharyan street, Yerevan","$80,000",Stone,No,Not available,5,56,2,1,from 2.75 m,5,Not available,Not available,Cosmetic Renovation
Nor Nork,"Gyulikekhvyan street, Yerevan","$71,000",Stone,No,Not available,5,55,2,1,from 2.75 m,2,Closed balcony,By agreement,Partial Renovation
Nor Nork,"Moldovakan street, Yerevan","$48,000",Panels,No,Not available,5,37,1,1,from 2.6 m,1,Closed balcony,Not available,Old Renovation
Nor Nork,"Gyulikekhvyan street, Yerevan","$64,000",Cassette,No,Not available,5,51,3,1,from 2.7 m,3,Closed balcony,Partial Furniture,Cosmetic Renovation
Nor Nork,"Gai avenue, Yerevan","$225,000",Monolith,Yes,Available,16,97,4,2,from 2.8 m,11,Open balcony,Available,Euro Renovation
Nor Nork,"Moldovakan street, Yerevan","$73,000",Panels,No,Not available,5,52,2,1,from 2.7 m,4,Closed balcony,Not available,Euro Renovation
Nor Nork,"Մոլդովական, Երևան","$74,000",Panels,No,Not available,5,51,2,1,from 2.6 m,5,Closed balcony,Available,Major Renovation
Nor Nork,"Gai avenue, Yerevan","$66,500",Panels,No,Available,9,43,1,1,from 2.8 m,1,Closed balcony,Not available,Major Renovation
Nor Nork,"Moldovakan street, Երևան","$46,000",Panels,No,Not available,5,33,1,1,from 2.7 m,5,Open balcony,Not available,No Renovation
Nor Nork,"Աշոտ Հովհաննիսյանի փողոց, Երևան","$122,000",Panels,No,Available,9,76,3,1,from 2.8 m,8,Closed balcony,Partial Furniture,Euro Renovation
Arabkir,"Griboyedov street, Yerevan","$133,000",Stone,No,Not available,5,82,3,1,from 2.75 m,4,Multiple balconies,Not available,No Renovation
Arabkir,"Vahram Papazyan street, Yerevan","$135,000",Stone,No,Not available,5,71,3,2,from 2.75 m,5,Multiple balconies,Not available,Major Renovation
Arabkir,"Ադոնցի փողոց, Երևան","$180,000",Monolith,Yes,Available,9,82,3,1,from 3 m,2,Open balcony,Available,Major Renovation
Arabkir,"Komitas Avenue, Yerevan","$195,000",Stone,No,Not available,5,89,3,1,from 3 m,4,Multiple balconies,Available,Major Renovation
Nor Nork,"Վիլնյուսի փողոց 71, Նոր Նորքի 9-րդ զանգված","$131,000",Panels,No,Available,9,95,4,2,from 2.75 m,5,Multiple balconies,Available,Cosmetic Renovation
Arabkir,"Nikoghayos Adonts Street, Yerevan","$180,000",Monolith,Yes,Available,7,82,3,1,from 3 m,5,Open balcony,Not available,No Renovation
Ajapnyak,"Նորաշեն թաղամաս, Երևան","$105,000",Monolith,Yes,Available,12,44,2,1,from 3 m,9,Not available,Available,Major Renovation
Ajapnyak,"Սիսակյան փողոց, Երևան","$98,000",Monolith,Yes,Available,8,62,2,1,from 3 m,8,Not available,Not available,Major Renovation
Kentron,"Մովսես Խորենացու փողոց 47/7, Երևան","$152,000",Monolith,Yes,Available,12,69,3,1,from 2.75 m,10,Not available,By agreement,Major Renovation
Kentron,Yerevan › Kentron,"$450,000",Stone,Yes,Available,7,121,3,2,from 3.5 m,5,Open balcony,Available,Euro Renovation
Shengavit,"Եղիշե Թադևոսյան նրբ, Երևան","$82,000",Panels,No,Not available,4,52,2,1,from 2.7 m,3,Closed balcony,Not available,Major Renovation
Kanaker-Zeytun,"Rubiniants street, Yerevan","$72,000",Stone,No,Not available,5,47,1,1,from 2.75 m,2,Closed balcony,By agreement,Cosmetic Renovation
Kentron,"Տերյան փողոց, Երևան","$230,000",Panels,No,Available,9,89,3,1,from 2.75 m,9,Open balcony,By agreement,Old Renovation
Kentron,"Արգիշտի փողոց, Երևան","$255,000",Monolith,Yes,Available,14,56,2,1,from 3 m,10,Open balcony,Available,Euro Renovation
Erebuni,"Nubarashen 11 street, Yerevan","$80,000",Stone,No,Not available,5,97,4,1,from 2.8 m,5,Multiple balconies,Not available,No Renovation
